Deer_ID,Status,COD,Mortality,Censor,Removed_from_study_date,Date,#_Magnets_Removed,Collar_Frequency,Collar_Picture_Taken,Collar_ID_Iridium,Pregnant?,Preg_determined,PSPB,VIT_ID_Iridium,VIT_Frequency,VIT_antenna_out_cm,ISTAT_ID,Sex,Age,Weight,Left_Ear_Tag_Color_#,Right_Ear_Tag_Color_#,Left_Metal_Ear_Tag,Right_Metal_Ear_Tag,Comment
2023_WTD_AMES_30,on air,,,,,01/26/2024,1,151.21,Yes,155164,y,ultrasound,Pregnant,20642,152.42,15,NA,F,4,116,green/039,green/022,NA,NA,
2023_WTD_AMES_31,on air,,,,,01/26/2024,1,151,Yes,155143,y,ultrasound,Pregnant,20638,152.38,18,31,F,5,135,green/084,green/033,NA,NA,"ultrasound was not working properly, VIT given regardless"
2023_WTD_AMES_32,on air,,,,,01/26/2024,1,151.05,Yes,155148,y,ultrasound,Pregnant,20637,152.37,18,NA,F,2,108,green/003,green/090,NA,NA,
2023_WTD_AMES_33,Shot by hunter on 01-29-2024,Shot by hunter on 01-29-2024,1,,01/29/2024,01/26/2024,1,151.03,Yes,155146,y,ultrasound,Pregnant,20627,152.27,18,33,F,5,103,green/055,green/021,NA,NA,
2023_WTD_AMES_34,Likely mortality. Found collar (buried) on 3/13/24,Unknown,1,,02/22/2024,01/26/2024,1,151.4,No,155137,NA,NA,,NA,NA,NA,NA,M,3,NA,NA,NA,NA,NA,
2023_WTD_AMES_35,Mortality,"undetermined, likely myopathy",1,,02/02/2024,01/26/2024,1,151.1,Yes,155153,y,ultrasound,Pregnant,20646,152.46,15,NA,F,3,123,green/027,green/083,NA,NA,
2023_WTD_AMES_36,Mortality,"Unknown; Birth alert led team to check on her, she was dead",1,,05/14/2024,01/26/2024,1,151.12,Yes,155155,y,ultrasound,Pregnant,20633,152.33,20,NA,F,4,126,green/088,green 095,NA,NA,extra antenna visisble compared to others
2023_WTD_AMES_37,on air,,,,,01/28/2024,1,151.15,No,153659,y,ultrasound,,20626,152.26,14,NA,F,4,114,green/026,green/081,NA,NA,Birth 6/5/2024 VIT recovered and deactivated 6/7/2024
2023_WTD_AMES_38,Mortality,Unknown,1,,02/09/2024,01/28/2024,1,151.09,Yes,155152,y,ultrasound,Pregnant,20639,152.39,14,NA,F,5+,109,green/076,green/036,NA,NA,
2023_WTD_AMES_39,Mortality,Unknown,1,,08/13/2024,01/28/2024,1,151.16,Yes,155149,y,ultrasound,Pregnant,20645,152.45,13,NA,F,5,142,green/024,green/086,NA,NA,
2023_WTD_AMES_40,on air,,,,,01/28/2024,1,152,Yes,155019,NA,NA,,NA,NA,NA,NA,M,3,NA,green/130,green/129,NA,NA,
2023_WTD_AMES_41,on air,,,,,01/28/2024,1,151.16,Yes,155159,y,ultrasound,Pregnant,20640,152.4,11,NA,F,5+,123,green/050,green/049,NA,NA,
2023_WTD_AMES_42,on air,,,,,01/28/2024,1,151.64,No,151576,y,ultrasound,Pregnant,NA,NA,NA,NA,F,5,118,green/068,green/012,NA,NA,"unclear ultrasound, not pregnant yet; teets swollen. late lactation; NEEDS BLOOD PREGNANCY TESTING"
2023_WTD_AMES_43,on air,,,,,01/28/2024,1,151.27,No,155124,NA,NA,,NA,NA,NA,NA,M,3,NA,green/118,green/119,NA,NA,
2023_WTD_AMES_44,on air,,,,,01/28/2024,1,151.23,No,155166,y,ultrasound,Pregnant,20625,152.25,16,NA,F,3,109,green/092,green/030,NA,NA,"doe was very tense, VIT might come out early"
2023_WTD_AMES_45,on air,,,,,01/28/2024,1,151.17,Yes,155160,y,ultrasound,Pregnant,20648,152.48,17,NA,F,4,134,green/047,green/038,NA,NA,
2023_WTD_AMES_46,on air,,,,,01/28/2024,1,151.01,Yes,155144,y,ultrasound,Pregnant,20628,152.28,13,NA,F,4,136,green/029,green/001,NA,NA,
2023_WTD_AMES_47,Mortality on 12/7/2024,Notified by hunter that deer was moving oddly and slowly,1,,12/07/2024,01/28/2024,1,151.98,No,151610,NA,NA,,NA,NA,NA,NA,M,3,NA,green/054,green/067,NA,NA,harvested 12/7/2024
